# Channel	Time
1	3337
1	14109
2	14209
1	18179
1	26852
1	41349
2	41444
1	57279
1	59522
1	60597
1	79956
1	98330
1	100398
2	100495
1	100781
1	113001
2	113097
1	116587
2	116692
1	121181
2	121281
1	124144
1	128517
1	153845
1	157160
2	157255
1	165772
1	172277
2	172372
1	173509
1	182999
2	183100
1	292663
2	292762
1	294651
2	294754
1	314317
2	314422
1	317138
1	328277
1	343540
2	343639
1	351513
1	353072
1	375296
1	392057
1	392612
2	392710
1	394661
1	407869
1	408980
2	409076
1	409421
2	409524
1	414737
2	414834
1	425998
1	433341
1	442057
2	442159
1	452220
1	469360
1	470281
2	470381
1	476974
1	478310
1	491710
2	491812
1	530723
2	530821
1	559234
2	559339
1	592269
2	592373
1	606000
2	606095
1	606981
1	608347
1	608620
2	608721
1	608989
1	609748
1	619142
2	619240
1	629954
2	630052
1	664736
1	668188
1	669777
2	669880
1	680413
2	680513
1	683849
1	691562
2	691658
1	692093
1	699984
1	708400
2	708501
1	709742
1	711290
1	717357
2	717460
1	734351
1	742225
2	742324
1	755293
2	755396
1	774390
2	774486
1	799525
2	799628
1	820536
2	820631
1	823421
2	823519
1	825755
2	825860
1	851512
1	853458
2	853557
1	887861
1	897692
1	899752
2	899847
1	904386
1	905545
1	906998
2	907099
1	914720
2	914825
1	916145
1	918910
2	919012
1	928092
2	928187
1	935605
1	936531
2	936626
1	942523
2	942623
1	960654
2	960759
1	975707
1	988342
1	993849
2	993949
1	1002676
2	1002773
1	1002715
2	1002816
1	1004374
1	1052559
2	1052663
1	1056967
2	1057070
1	1091834
1	1095740
1	1100501
2	1100599
1	1108907
2	1109009
1	1141443
2	1141540
1	1148726
2	1148829
1	1161392
2	1161494
1	1165179
1	1166354
1	1234666
1	1238354
1	1239907
1	1246008
1	1249776
2	1249879
1	1251247
1	1278359
1	1281078
2	1281174
1	1292484
2	1292587
1	1295644
2	1295741
1	1297763
2	1297858
1	1300475
1	1307837
1	1309875
1	1312242
1	1312471
1	1333789
2	1333894
1	1334333
1	1349586
2	1349687
1	1351584
2	1351688
1	1353822
2	1353924
1	1358332
2	1358431
1	1373501
2	1373601
1	1385491
2	1385591
1	1391624
1	1396204
2	1396309
1	1404660
1	1413165
1	1442795
1	1464086
1	1472431
1	1489593
1	1490181
1	1497090
1	1500851
2	1500953
1	1503079
2	1503177
1	1524366
2	1524470
1	1527813
2	1527916
1	1529730
2	1529832
1	1539052
1	1540984
1	1545899
1	1588885
2	1588990
1	1595416
1	1607381
1	1616559
1	1637301
1	1645340
1	1651981
2	1652080
1	1660477
1	1678458
1	1678980
2	1679084
1	1683146
2	1683247
1	1688000
2	1688100
1	1688136
2	1688233
1	1696791
2	1696895
1	1712388
1	1718669
1	1723832
1	1727097
2	1727195
1	1747117
2	1747217
1	1747972
1	1751555
2	1751659
1	1753271
1	1756884
1	1783459
2	1783555
1	1792577
2	1792674
1	1793720
1	1817504
1	1820590
2	1820694
1	1831763
2	1831866
1	1837827
1	1842136
2	1842240
1	1849324
2	1849426
1	1854738
2	1854837
1	1863226
1	1865443
2	1865545
1	1869288
2	1869384
1	1875586
2	1875685
1	1881365
2	1881466
1	1884903
1	1889366
2	1889466
1	1893787
1	1907365
1	1908475
1	1922173
2	1922276
1	1925938
1	1926739
1	1931006
2	1931102
1	1932925
2	1933028
1	1951192
2	1951290
1	1988364
2	1988460
1	2005698
2	2005803
1	2013165
2	2013264
1	2014612
2	2014707
1	2022454
2	2022552
1	2024866
1	2027773
1	2033177
1	2039881
1	2040745
1	2048581
1	2058708
2	2058808
1	2061956
1	2095727
1	2122257
2	2122359
1	2137087
1	2140844
1	2141662
2	2141757
1	2151042
2	2151138
1	2169349
2	2169451
1	2169667
1	2192085
1	2207203
2	2207300
1	2212904
1	2214663
2	2214768
1	2245094
1	2258113
1	2262183
2	2262287
1	2263631
2	2263735
1	2264378
2	2264482
1	2264800
1	2265022
1	2278741
1	2279190
1	2284897
1	2297686
1	2297885
1	2313300
2	2313396
1	2319516
1	2333438
1	2333994
1	2337035
2	2337139
1	2347453
2	2347553
1	2353360
1	2358643
2	2358748
1	2359316
1	2374451
1	2384972
1	2385877
1	2391974
1	2399016
2	2399111
1	2401186
2	2401290
1	2401597
2	2401694
1	2403011
2	2403109
1	2408816
