Channel	Time
2	553
1	615
2	932
1	999
2	1046
2	1103
1	1112
2	1154
1	1173
1	1221
2	1248
1	1302
2	1508
1	1569
2	2021
1	2083
2	2100
1	2167
2	2359
1	2395
2	2609
1	2659
2	2945
1	3012
2	3118
1	3182
2	3624
1	3672
2	4386
1	4456
2	6770
1	6838
2	7704
1	7765
2	7985
1	8034
2	8296
2	8349
1	8368
1	8402
2	8687
2	8721
1	8781
1	8784
2	9345
1	9392
2	11714
1	11761
2	11771
1	11824
2	11927
1	11995
2	12040
1	12102
2	12788
1	12852
2	12910
1	12964
2	14020
1	14071
2	14715
1	14787
2	15005
1	15075
2	18068
2	18102
1	18128
1	18156
2	18670
2	18727
1	18734
1	18786
2	19581
2	19637
2	19644
1	19646
1	19711
1	19715
2	19817
1	19897
2	20038
2	20084
1	20101
1	20150
2	20857
1	20928
2	21203
1	21257
2	21579
1	21636
2	21829
1	21888
2	21896
1	21958
2	22897
2	22958
1	22961
1	22996
2	23301
2	23326
1	23356
1	23399
2	23487
1	23546
2	23829
1	23889
2	26756
1	26829
2	27630
1	27695
2	28818
1	28864
2	30262
1	30319
2	30544
1	30619
2	30787
1	30849
2	31774
2	31811
1	31827
1	31871
2	32652
1	32710
2	32756
1	32825
2	32861
1	32920
2	33338
2	33374
1	33408
1	33440
2	34114
1	34189
2	34352
1	34410
2	34444
1	34492
2	34588
1	34654
2	34741
2	34761
1	34808
1	34826
2	34835
2	34869
1	34901
1	34933
2	35142
1	35193
2	35505
1	35563
2	35769
1	35830
2	36572
1	36648
2	36756
1	36817
2	36851
1	36902
2	37256
1	37327
2	37762
2	37764
1	37819
1	37831
2	38033
1	38099
2	38114
1	38175
2	38472
2	38507
1	38548
1	38555
2	38631
1	38706
2	38733
1	38802
2	38860
2	38928
1	38938
1	38996
2	39953
1	40007
2	40547
1	40608
2	41606
1	41684
2	42487
1	42541
2	42975
1	43054
2	43617
1	43680
2	43685
1	43754
2	43789
1	43851
2	44038
2	44068
1	44122
1	44136
2	44741
1	44816
2	46087
1	46163
2	46431
1	46497
2	46755
1	46813
2	46861
2	46868
1	46935
1	46949
2	47642
1	47705
2	48223
1	48283
2	49362
1	49423
2	50342
1	50396
2	50500
1	50557
2	50664
1	50731
2	50969
1	51030
2	51399
1	51476
2	52856
1	52917
2	53030
1	53098
2	53123
1	53176
2	53189
1	53243
2	53314
1	53383
2	53499
1	53585
2	53768
1	53817
2	54290
2	54344
1	54363
1	54401
2	55206
2	55242
1	55265
1	55296
2	57055
1	57122
2	57265
1	57334
2	57868
1	57939
2	58209
1	58272
2	58917
1	58993
2	59381
1	59449
2	59681
1	59753
2	60288
1	60349
2	60756
1	60829
2	61786
1	61847
2	62072
1	62146
2	62297
1	62354
2	62524
2	62554
1	62583
1	62609
2	63351
1	63413
2	63453
1	63515
2	63753
1	63817
2	64699
1	64758
2	65607
1	65667
2	66420
2	66428
1	66473
1	66511
2	66741
1	66807
2	66929
1	66970
2	67203
1	67262
2	69506
1	69574
2	69694
1	69764
2	70374
1	70435
2	70638
2	70649
1	70707
1	70713
2	70729
1	70800
2	71098
1	71171
2	71886
1	71939
2	72078
1	72145
2	72586
1	72650
2	72899
2	72930
1	72957
1	72980
2	73179
1	73235
2	74250
1	74306
2	74401
2	74414
1	74462
1	74469
2	75598
1	75660
2	75747
1	75805
2	77163
1	77218
2	77436
1	77497
2	77600
1	77682
2	78056
1	78125
2	78452
1	78504
2	79231
1	79305
2	79771
1	79838
2	79868
1	79925
2	80237
1	80297
2	80795
1	80860
2	81357
1	81414
2	81468
2	81501
1	81532
1	81569
2	82102
1	82162
2	82225
1	82275
2	82413
1	82463
2	82927
2	82954
1	82994
1	83007
2	83172
2	83208
1	83222
2	83223
1	83267
1	83284
2	84118
1	84187
2	85035
1	85100
2	85510
2	85538
1	85567
1	85592
2	85683
1	85750
