Channel	Time
2	696
1	758
2	2305
1	2369
2	2922
1	2994
2	5147
1	5225
2	8758
1	8820
2	16430
1	16486
2	20037
1	20088
2	20775
1	20837
2	20913
1	20982
2	21085
1	21160
2	22877
1	22930
2	24417
1	24492
2	26534
1	26595
2	36124
1	36201
2	46375
1	46421
2	49561
1	49623
2	55381
1	55443
2	56137
1	56204
2	56791
1	56855
2	58569
1	58621
2	61080
1	61137
2	62695
1	62757
2	65505
1	65566
2	66162
1	66217
2	66986
1	67056
2	69616
1	69676
2	70991
1	71048
2	71232
1	71298
2	71711
1	71776
2	73397
1	73463
2	76997
1	77066
2	77106
1	77151
2	77337
1	77407
2	78861
1	78917
2	79784
1	79842
2	83327
1	83391
2	85645
1	85720
2	86472
1	86536
2	86760
1	86815
2	99067
1	99148
2	99782
1	99839
2	101044
1	101105
2	101148
1	101209
2	104035
1	104082
2	105124
1	105168
2	106267
1	106322
2	108620
1	108682
2	111083
1	111160
2	111814
1	111872
2	112260
1	112333
2	113687
2	113730
1	113750
1	113801
2	113905
1	113982
2	117594
1	117649
2	119201
1	119270
2	120032
1	120075
2	120803
1	120883
2	121757
1	121808
2	125176
1	125228
2	125442
1	125504
2	125677
2	125699
1	125750
1	125774
2	131841
1	131926
2	137509
1	137574
2	138450
1	138517
2	139982
1	140072
2	143206
1	143258
2	145152
1	145226
2	146745
1	146800
2	151819
1	151871
2	153967
1	154021
2	154162
1	154214
2	155041
1	155097
2	157434
1	157495
2	158975
1	159043
2	160236
1	160288
2	163301
1	163373
2	167487
1	167554
2	168136
1	168192
2	169125
1	169191
2	172733
1	172794
2	173163
1	173218
2	174983
1	175046
2	178240
1	178305
2	179995
1	180078
2	180363
1	180444
2	181792
1	181851
2	184539
1	184601
2	184778
1	184821
2	186787
1	186843
2	188657
1	188726
2	189811
1	189873
2	191598
1	191663
2	193314
1	193381
2	196498
1	196558
2	196655
1	196719
2	197892
1	197958
2	202388
1	202452
2	204002
1	204067
2	206126
1	206189
2	208461
1	208528
2	210235
1	210302
2	215995
1	216052
2	216221
1	216283
2	217391
1	217438
2	222411
1	222485
2	223026
1	223092
2	224014
1	224061
2	225144
1	225213
2	227887
1	227963
2	229070
1	229136
2	229559
1	229631
2	233954
1	234005
2	234083
1	234157
2	234374
1	234450
2	235028
1	235080
2	240746
1	240809
2	246875
1	246959
2	249327
1	249393
2	250394
1	250447
2	252995
1	253051
2	255026
2	255028
1	255078
1	255092
2	255309
1	255381
2	260901
1	260971
2	263029
1	263091
2	264075
1	264131
2	267586
1	267648
2	269575
1	269634
2	274085
1	274153
2	276598
1	276649
2	280409
1	280479
2	282209
1	282287
2	282989
1	283044
2	283671
1	283729
2	284941
1	285007
2	286167
1	286246
2	288256
1	288325
2	289375
1	289450
2	296604
1	296667
2	297033
1	297100
2	301454
1	301534
2	303915
1	303987
2	305952
1	306023
2	306706
1	306767
2	308735
1	308815
2	308999
1	309062
2	310760
1	310816
2	311892
1	311970
2	314616
1	314676
2	315249
1	315313
2	316881
1	316977
2	321394
1	321449
2	334426
1	334487
2	335263
1	335342
2	336386
1	336457
2	339291
1	339359
2	342055
1	342131
2	344243
1	344304
2	352009
1	352091
2	355710
1	355771
2	356175
1	356225
2	356976
1	357057
2	360711
1	360776
2	361436
1	361505
2	365615
1	365680
2	368140
1	368191
2	368261
1	368323
2	368905
1	368960
2	369361
1	369440
2	370610
1	370674
2	371230
1	371284
2	372081
1	372152
2	372446
1	372505
2	376823
1	376894
2	381577
1	381645
2	382017
1	382063
2	385540
2	385576
1	385614
1	385641
2	387589
1	387645
2	389224
1	389279
2	392169
1	392231
2	392316
1	392376
2	394500
1	394556
2	400059
1	400127
2	400186
1	400245
2	401042
1	401099
2	401197
1	401264
2	404541
1	404603
2	406621
1	406676
2	407293
1	407357
2	411184
1	411247
2	414076
1	414129
2	416526
1	416588
2	417776
1	417844
2	420826
1	420902
2	421637
1	421705
2	424883
1	424961
2	425051
1	425112
2	425547
1	425625
2	426754
1	426812
2	426976
1	427042
2	431119
1	431178
2	436541
1	436601
2	438248
1	438299
2	438629
1	438698
2	438943
1	438994
2	443748
1	443806
2	445165
1	445221
2	448458
1	448521
2	449437
1	449490
2	450246
1	450311
2	450429
1	450491
2	450656
1	450717
2	450978
1	451027
2	451661
1	451734
2	452673
1	452731
2	453613
1	453675
2	457038
1	457110
2	458456
1	458507
2	460052
1	460110
2	469830
1	469893
2	471073
1	471133
2	477835
1	477895
2	483011
1	483065
2	485864
1	485949
2	489200
1	489267
2	490351
1	490412
2	490552
1	490628
2	491593
1	491654
2	492141
1	492190
2	492952
1	493021
2	494411
1	494479
2	494608
1	494679
2	495721
1	495790
2	496427
1	496499
2	496812
1	496876
2	500533
1	500584
2	501623
1	501688
2	509240
1	509311
2	511221
1	511304
2	511343
1	511410
2	511933
1	511995
2	515647
1	515707
2	517711
1	517770
2	521071
1	521129
2	521523
1	521592
2	521693
1	521748
2	523017
1	523085
2	523595
2	523656
1	523683
1	523720
2	524031
1	524106
2	526354
1	526417
2	530682
1	530765
2	532631
1	532691
2	538930
1	538984
2	539792
1	539855
2	540420
1	540482
2	541173
1	541239
2	542174
1	542242
2	545711
1	545779
2	546800
1	546875
2	547994
1	548050
2	550141
1	550202
2	561220
1	561285
2	563060
1	563120
2	563725
1	563788
4	567198
1	567258
4	568809
1	568876
4	570301
1	570367
4	571089
1	571151
4	574346
1	574407
4	580947
1	581021
4	586235
1	586307
4	588706
1	588784
4	588830
1	588884
4	596265
1	596330
4	597090
1	597144
4	599533
1	599591
4	606060
1	606120
4	608069
1	608133
4	608698
1	608762
4	611907
1	611976
4	612368
1	612437
4	613358
1	613437
4	614392
1	614452
4	615049
1	615111
4	615417
1	615466
4	616507
1	616580
4	617015
1	617062
4	620206
1	620267
4	624724
